,0
1063,Theobald
1064,Tibald
1065,Teodor
1066,Todek
1067,Ted
1068,Dorek
1069,Theodore
1070,Teofil
1071,Tolek
1072,Teofilek
1073,Teofilik
1074,Fil
1075,Filek
1076,Teoś
1077,Theophilus
1078,Tobiasz
1079,Tobiaszek
1080,Tobuś
1081,Tobek
1082,Tobi
1083,Toby
1084,Tobias
1085,Tomasz
1086,Tomek
1087,Tomko
1088,Tomuś
1089,Tomcio
1090,Thomas
1091,Tomisław
1092,
1093, 
1094,Tymon
1095,
1096,Timon
1097,Tymoteusz
1098,Tymek
1099,Tymcio
1100,Timothy
1101,Tytus
1102,Tycio
1103,Titus
1104,Urban
1105,Urbanek
1106,Urbaś
1107,Urban
1108,Wacław
1109,Wacek
1110,Wacławek
1111,Wacuś
1112,Wenceslas
1113,Waldemar
1114,Waldek
1115,Waldeczek
1116,Walduś
1117,Waldzio
1118,Waldemar
1119,Valdemar
1120,Walenty
1121,Walek
1122,Valent
1123,Walentyn
1124,Walek
1125,Valentine
1126,Walerian
1127,Walerek
1128,Valerian
1129,Walter
1130,
1131,Walter
1132,Wandelin
1133,
1134,Wendelin
1135,Wawrzyniec
1136,Wawrek
1137,Wawrzek
1138,Lawrence
1139,Laurence
1140,Więcesław
1141,
1142,Wenceslas
1143,Wendelin
1144,
1145,Wendelin
1146,Wielisław
1147,Wiesiek
1148,Wiesio
1149,Wiesulek
1150,vele='great'+sław='famous
1151,glory
1152,renown' 
1153,Wiesław
1154,Wiesiek
1155,Wiesio
1156,Wiesulek
1157,vele='great'+sław='famous
1158,glory
1159,renown' 
1160,Wiktor
1161,Wicio
1162,Witek
1163,Wituś
1164,Wiktorek
1165,Victor
1166,Wilhelm
1167,Wilek
1168,Wiluś
1169,William
1170,Wincenty
1171,Wicek
1172,Witek
1173,Vincent
1174,Witold
1175,Witek
1176,Wituś
1177,Wicio
1178, 
1179,Wisław
1180,
1181,vele='great'+sław='famous
1182,glory
1183,renown' 
1184,Wit
1185,
1186,Vitus
1187,Guy
1188,Witalis
1189,Witek
1190,Wituś
1191,Wicio
1192,Vitalis
1193,Witold
1194,Witek
1195,Tolek
1196,Tolo
1197,wida='wideorwitu='wood'+wald='ruler' 
1198,Witołd
1199,Witek
1200,Tolek
1201,Tolo
1202,Witold
1203,Władysław
1204,Wład
1205,Władeczek
1206,Władek
1207,Władzio
1208,Ladislaus
1209,Vladislav
1210,Włodzimierz
1211,Włodek
1212,Włodeczek
1213,Włodzio
1214,Vladimir
1215,Włodzisław
1216,Włodek
1217,Włodeczek
1218,Włodzio
1219,Ladislaus
1220,Vladislav
1221,Wojciech
1222,Wojtek
1223,Wojtul
1224,Wojtuś
1225,Wojteczek
1226,Wowa
1227,voi='soldier
1228,warrior'+tech='consolation' 
1229,Wojsław
1230,
1231,voi='soldier
1232,warrior'+sław='famous
1233,glory
1234,renown' 
1235,Zachariasz
1236,
1237,Zachariah
1238,Zachary
1239,Zbigniew
1240,Zbyszek
1241,Zbyszko
1242,Zbysiek
1243,Zbysio
1244,zbit='togetridof'+gniew='anger' 
1245,Zdzisław
1246,Zdzisiek
1247,Zdziś
1248,Zdich
1249,Zdiech
1250,Zdisio
1251,Zdziesz
1252,Zdzieszko
1253,Zdisek
1254,zde='here
1255,present'+sław='famous
1256,glory
1257,renown' 
1258,Żelisław
1259,Żelek
1260,Żelusz
1261,zhelit='todesire'+sław='famous
1262,glory
1263,renown' 
1264,Zenobiusz
1265,Zenek
1266,Zenio
1267,Zenus
1268,Zenobius
1269,Zenon
1270,Zenek
1271,Zenio
1272,Zenuś
1273,Zenon
1274,Zeno
1275,Ziemowit
1276,
1277,siemo='person
1278,family'+wit='lord
1279,master' 
1280,Zygfryd
1281,Zyga
1282,Frydek
1283,Sigfrid
1284,Siegfried
1285,Zygmunt
1286,Zyga
1287,Zygmuntek
1288,Zygmuś
1289,Zyguś
1290,Sigismund
1291,Żytomir
1292,Żytek
1293,zhit='tolive'+meri='great
1294,famous'ormir='peace' 
